club_name,club_link
Arsenal,https://fbref.com/en/squads/18bb7c10/2010-2011/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2010-2011/Aston-Villa-Stats
Birmingham City,https://fbref.com/en/squads/ec79b7c2/2010-2011/Birmingham-City-Stats
Blackburn,https://fbref.com/en/squads/e090f40b/2010-2011/Blackburn-Rovers-Stats
Blackpool,https://fbref.com/en/squads/7cbf5cb4/2010-2011/Blackpool-Stats
Bolton,https://fbref.com/en/squads/445d3104/2010-2011/Bolton-Wanderers-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2010-2011/Chelsea-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2010-2011/Everton-Stats
Fulham,https://fbref.com/en/squads/fd962109/2010-2011/Fulham-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2010-2011/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2010-2011/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2010-2011/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2010-2011/Newcastle-United-Stats
Stoke City,https://fbref.com/en/squads/17892952/2010-2011/Stoke-City-Stats
Sunderland,https://fbref.com/en/squads/8ef52968/2010-2011/Sunderland-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2010-2011/Tottenham-Hotspur-Stats
West Brom,https://fbref.com/en/squads/60c6b05f/2010-2011/West-Bromwich-Albion-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2010-2011/West-Ham-United-Stats
Wigan Athletic,https://fbref.com/en/squads/e59ddc76/2010-2011/Wigan-Athletic-Stats
Wolves,https://fbref.com/en/squads/8cec06e1/2010-2011/Wolverhampton-Wanderers-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2011-2012/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2011-2012/Aston-Villa-Stats
Blackburn,https://fbref.com/en/squads/e090f40b/2011-2012/Blackburn-Rovers-Stats
Bolton,https://fbref.com/en/squads/445d3104/2011-2012/Bolton-Wanderers-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2011-2012/Chelsea-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2011-2012/Everton-Stats
Fulham,https://fbref.com/en/squads/fd962109/2011-2012/Fulham-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2011-2012/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2011-2012/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2011-2012/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2011-2012/Newcastle-United-Stats
Norwich City,https://fbref.com/en/squads/1c781004/2011-2012/Norwich-City-Stats
QPR,https://fbref.com/en/squads/a757999c/2011-2012/Queens-Park-Rangers-Stats
Stoke City,https://fbref.com/en/squads/17892952/2011-2012/Stoke-City-Stats
Sunderland,https://fbref.com/en/squads/8ef52968/2011-2012/Sunderland-Stats
Swansea City,https://fbref.com/en/squads/fb10988f/2011-2012/Swansea-City-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2011-2012/Tottenham-Hotspur-Stats
West Brom,https://fbref.com/en/squads/60c6b05f/2011-2012/West-Bromwich-Albion-Stats
Wigan Athletic,https://fbref.com/en/squads/e59ddc76/2011-2012/Wigan-Athletic-Stats
Wolves,https://fbref.com/en/squads/8cec06e1/2011-2012/Wolverhampton-Wanderers-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2012-2013/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2012-2013/Aston-Villa-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2012-2013/Chelsea-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2012-2013/Everton-Stats
Fulham,https://fbref.com/en/squads/fd962109/2012-2013/Fulham-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2012-2013/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2012-2013/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2012-2013/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2012-2013/Newcastle-United-Stats
Norwich City,https://fbref.com/en/squads/1c781004/2012-2013/Norwich-City-Stats
QPR,https://fbref.com/en/squads/a757999c/2012-2013/Queens-Park-Rangers-Stats
Reading,https://fbref.com/en/squads/b0ac61ff/2012-2013/Reading-Stats
Southampton,https://fbref.com/en/squads/33c895d4/2012-2013/Southampton-Stats
Stoke City,https://fbref.com/en/squads/17892952/2012-2013/Stoke-City-Stats
Sunderland,https://fbref.com/en/squads/8ef52968/2012-2013/Sunderland-Stats
Swansea City,https://fbref.com/en/squads/fb10988f/2012-2013/Swansea-City-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2012-2013/Tottenham-Hotspur-Stats
West Brom,https://fbref.com/en/squads/60c6b05f/2012-2013/West-Bromwich-Albion-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2012-2013/West-Ham-United-Stats
Wigan Athletic,https://fbref.com/en/squads/e59ddc76/2012-2013/Wigan-Athletic-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2013-2014/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2013-2014/Aston-Villa-Stats
Cardiff City,https://fbref.com/en/squads/75fae011/2013-2014/Cardiff-City-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2013-2014/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2013-2014/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2013-2014/Everton-Stats
Fulham,https://fbref.com/en/squads/fd962109/2013-2014/Fulham-Stats
Hull City,https://fbref.com/en/squads/bd8769d1/2013-2014/Hull-City-Stats
